Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
85000000,2388,105853,Recoleta,Pasajelavalleja-av.Zapadorestt,2,2,67,66,,12218127,Hobbins Vitacura
80682530,2267,100476,PuenteAlto,pampadeltamarugal2313,2,1,65,66,1,11410518,RUKAM SPA
64000000,1798,79701,ElBosque,Avda.Loblanco/sanfrancisco,3,1,80,66,,9900937,Mi Llave
45000000,1264,56040,Melipilla,LasAraucariasPC60367/Merced,4,1,88,66,,8874252,Propiedades Centro Santiago SPA
72000000,2023,89664,Colina,PabloNeruda/CarlosDroguett,2,1,45,66,1,11612125,Procasa Adrián Ulloa Propiedades
73742480,2072,91834,LaFlorida,AvSanJosedeLaEstrella-MetroSanJosedeLaEstrella,3,1,78,66,1,10882252,Grupo Premium Propiedades Santiago
57000000,1602,70984,CerroNavia,CerroNavia,3,1,59,66,,9427643,Agente Propiedades
90000000,2529,112080,Peñalolén,Vaihu-LasParcelas,3,1,84,66,1,11409165,Mi Llave
48000000,1349,59776,LaPintana,Observatorio,2,2,54,66,1,8851243,
55000000,1545,68493,PuenteAlto,EsteroBañosMorales3855,2,1,44,66,,8563029,Recio Gestión Inmobiliaria Ltda
50000000,1405,62267,PuenteAlto,Chiloé3983,2,1,53,66,1,9656909,Maritza Andrea Pelayo Lobos
53000000,1489,66002,Colina,HernánDíazArrieta2820,2,1,57,67,1,7085397,Patricio Gajardo propiedades
55000000,1545,68493,Colina,EduardoAnguita,2,2,59,67,1,6733893,Patricio Gajardo propiedades
118000000,3316,146949,SanBernardo,Caminoapadrehurtado,3,3,67,67,3,11965307,Corredores Asociados - OpenBrokers
44200000,1242,55044,Colina,VillaLasAmericas/CruzDelSur,3,1,65,67,,11927775,Procasa Adrián Ulloa Propiedades
45000000,1264,56040,PuenteAlto,Casa2PisosenVillaLosEvangelistas,3,1,50,67,,7260782,Corretajes Prosal
63000000,1770,78456,PuenteAlto,Sanhugo,2,1,41,67,1,11290714,Unne
75000000,2107,93400,Quilicura,LoMarcoletaYC55248/SantaLuisa,2,2,52,67,1,5998469,Propiedades Centro Santiago SPA
79000000,2220,98381,PuenteAlto,PuenteAlto,3,1,63,67,1,9245044,Dolce Hogar Propiedades - Asesores Inmobiliarios
69900000,1964,87049,LaGranja,VicuñaMackenna0355,3,1,65,68,1,12121040,CNF Asesoría y Gestión en Bienes Raíces
98500000,2768,122665,Santiago,Libertad1473,3,2,64,68,,11961537,Corredores Asociados - OpenBrokers
78000000,2192,97136,Santiago,Andesnu-60827/ricardocumming,3,2,68,68,,9364129,Propiedades Centro Santiago SPA
74000000,2079,92154,Peñalolén,AvLasParcelasconRapaNui,3,1,60,68,,7745388,Unne
57000000,1602,70984,Colina,MaríadeLaQuintana,3,1,84,68,1,8393357,Patricio Gajardo propiedades
80000000,2248,99626,PuenteAlto,Av.CanalTroncalSanFrancisco/LasNieves,5,1,85,68,1,7895353,Procasa Adrián Ulloa Propiedades
87000000,2445,108344,Maipú,SeVendeCasacercanaaCaminoMelipillaenMaipu,4,2,68,68,1,11497528,Mi Llave
50000000,1405,62267,SanBernardo,TodoslosSantos,3,1,48,68,3,11437975,Propital
67585410,1899,84166,PuenteAlto,¡granoportunidadenpuentealto!,3,1,67,68,,10201289,Movahome Corredores Integrados
81358740,2286,101318,LaFlorida,Blanca,3,1,75,68,1,11370495,Nexxos
75000000,2107,93400,Maipú,PasajelasChibchasNo1709,2,1,75,68,,10835867,
7473900,210,9307,PuenteAlto,SalitreraBuenaAventura,3,1,,68,1,10105381,Margarita Leiva Catalan
74000000,2079,92154,Maipú,BanderaChilena,4,2,50,69,1,9674826,alejandra escanilla garrido
78298000,2200,97507,Quilicura,PasajeRíoPuelo767,2,1,50,69,1,11970516,Agente365 Chile
77000000,2164,95890,CerroNavia,Parquelahondonada,2,2,97,69,,9145954,Mi Llave
42000000,1180,52304,LaPintana,ElLingue/Juanita,3,1,60,69,1,9260550,Legales y Propiedades SpA
60000000,1686,74720,LaFlorida,Botalón,3,2,,69,,11774391,Metro cúbico propiedades
75000000,2107,93400,EstaciónCentral,Obispojaviervasquezvalencia,2,1,68,69,,8943054,Unne
90000000,2529,112080,Santiago,República&Toesca,3,3,115,69,,8151234,
87000000,2445,108344,Peñalolén,Av.GreciaconAv.LasParcelas,3,1,63,69,,9352475,Unne
53000000,1489,66002,LaGranja,cerrolasilla1015,2,1,58,69,,11241424,Todo Propiedades
60000000,1686,74720,Pudahuel,Sevendecasa2pisodosdormitorio-pudahuel,2,1,69,69,,10217424,Scn Propiedades Ltda
55000000,1545,68493,PuenteAlto,Elsauce,3,2,64,69,1,11385050,Nexxos
59990000,1686,74707,Peñaflor,diegodevelasquez398,3,1,45,69,1,11004135,Unne
56000000,1573,69738,PedroAguirreCerda,Pje.43276,3,1,65,70,,9630592,Rosario
77799740,2186,96886,SanBernardo,RinconadadeNos,2,1,78,70,2,10633223,Hernán Arriagada
65000000,1826,80946,Lampa,alcaldejosesolano,2,1,55,70,1,12319493,Unne
68000000,1911,84682,Quilicura,Lomarcoletaconsantalaura,2,1,68,70,,12037414,Movahome Corredores Integrados
135242000,3800,168421,Recoleta,¨BomberoNuñez1385,1,2,70,70,1,12006767,Munay Gestión Inmobiliaria
